timestamp,server,cpu_idle,memory_idle,tasks_in_progress
2025-03-27 13:52:50,server3,81.75,88.75,1
2025-03-27 13:52:51,server1,87.38,88.8,0
2025-03-27 13:52:51,server2,88.33,94.44,0
2025-03-27 13:52:51,server3,81.75,88.75,1
2025-03-27 13:52:52,server1,87.38,88.8,0
2025-03-27 13:52:52,server2,88.33,94.44,0
2025-03-27 13:52:52,server3,86.69,93.53,0
2025-03-27 13:52:53,server1,87.38,88.8,0
2025-03-27 13:52:53,server2,77.15,86.53,1
2025-03-27 13:52:53,server3,86.69,93.53,0
2025-03-27 13:52:54,server1,87.38,88.8,0
2025-03-27 13:52:54,server2,77.15,86.53,1
2025-03-27 13:52:54,server3,86.69,93.53,0
2025-03-27 13:52:55,server1,87.38,88.8,0
2025-03-27 13:52:55,server2,77.15,86.53,1
2025-03-27 13:52:55,server3,86.69,93.53,0
2025-03-27 13:52:56,server1,87.38,88.8,0
2025-03-27 13:52:56,server2,77.15,86.53,1
2025-03-27 13:52:56,server3,86.69,93.53,0
2025-03-27 13:52:57,server1,87.38,88.8,0
2025-03-27 13:52:57,server2,77.15,86.53,1
2025-03-27 13:52:57,server3,86.69,93.53,0
2025-03-27 13:52:58,server1,87.38,88.8,0
2025-03-27 13:52:58,server2,77.15,86.53,1
2025-03-27 13:52:58,server3,86.69,93.53,0
2025-03-27 13:52:59,server1,87.38,88.8,0
2025-03-27 13:52:59,server2,77.15,86.53,1
2025-03-27 13:52:59,server3,86.69,93.53,0
2025-03-27 13:53:00,server1,87.38,88.8,0
2025-03-27 13:53:00,server2,77.15,86.53,1
2025-03-27 13:53:00,server3,86.69,93.53,0
2025-03-27 13:53:01,server1,87.38,88.8,0
2025-03-27 13:53:01,server2,77.15,86.53,1
2025-03-27 13:53:01,server3,86.69,93.53,0
2025-03-27 13:53:02,server1,87.38,88.8,0
2025-03-27 13:53:02,server2,77.15,86.53,1
2025-03-27 13:53:02,server3,86.69,93.53,0
2025-03-27 13:53:03,server1,87.38,88.8,0
2025-03-27 13:53:03,server2,77.15,86.53,1
2025-03-27 13:53:03,server3,86.69,93.53,0
2025-03-27 13:53:04,server1,87.38,88.8,0
2025-03-27 13:53:04,server2,77.15,86.53,1
2025-03-27 13:53:04,server3,86.69,93.53,0
2025-03-27 13:53:05,server1,87.38,88.8,0
2025-03-27 13:53:05,server2,77.15,86.53,1
2025-03-27 13:53:05,server3,86.69,93.53,0
2025-03-27 13:53:06,server1,87.38,88.8,0
2025-03-27 13:53:06,server2,77.15,86.53,1
2025-03-27 13:53:06,server3,86.69,93.53,0
2025-03-27 13:53:07,server1,87.38,88.8,0
2025-03-27 13:53:07,server2,77.15,86.53,1
2025-03-27 13:53:07,server3,86.69,93.53,0
2025-03-27 13:53:08,server1,87.38,88.8,0
2025-03-27 13:53:08,server2,77.15,86.53,1
2025-03-27 13:53:08,server3,86.69,93.53,0
2025-03-27 13:53:10,server1,87.38,88.8,0
2025-03-27 13:53:10,server2,77.15,86.53,1
2025-03-27 13:53:10,server3,78.35,85.04,1
2025-03-27 13:53:11,server1,87.38,88.8,0
2025-03-27 13:53:11,server2,77.15,86.53,1
2025-03-27 13:53:11,server3,78.35,85.04,1
2025-03-27 13:53:12,server1,87.38,88.8,0
2025-03-27 13:53:12,server2,82.31,90.88,0
2025-03-27 13:53:12,server3,78.35,85.04,1
2025-03-27 13:53:13,server1,87.38,88.8,0
2025-03-27 13:53:13,server2,82.31,90.88,0
2025-03-27 13:53:13,server3,78.35,85.04,1
2025-03-27 13:53:14,server1,87.38,88.8,0
2025-03-27 13:53:14,server2,82.31,90.88,0
2025-03-27 13:53:14,server3,78.35,85.04,1
2025-03-27 13:53:15,server1,87.38,88.8,0
2025-03-27 13:53:15,server2,82.31,90.88,0
2025-03-27 13:53:15,server3,78.35,85.04,1
2025-03-27 13:53:16,server1,87.38,88.8,0
2025-03-27 13:53:16,server2,82.31,90.88,0
2025-03-27 13:53:16,server3,78.35,85.04,1
2025-03-27 13:53:17,server1,87.38,88.8,0
2025-03-27 13:53:17,server2,82.31,90.88,0
2025-03-27 13:53:17,server3,78.35,85.04,1
2025-03-27 13:53:18,server1,87.38,88.8,0
2025-03-27 13:53:18,server2,82.31,90.88,0
2025-03-27 13:53:18,server3,78.35,85.04,1
2025-03-27 13:53:19,server1,87.38,88.8,0
2025-03-27 13:53:19,server2,82.31,90.88,0
2025-03-27 13:53:19,server3,78.35,85.04,1
2025-03-27 13:53:20,server1,87.38,88.8,0
2025-03-27 13:53:20,server2,82.31,90.88,0
